Playlist Title,Playlist Version,Track Title,Track Asin,Track Artist Name,Track Artist Asin,Track Album Name,Track Album Asin,Track Creation Date,Track Last Updated Time,Number of Followers
70's,100
80's,66
80's Hair Bands,79
90's,26
Abby’s Favorites,35
Anna’s sleepy music,1
Audiophile,34
Baby shark is cool,6
Brass,41
Brass Band,139
CHILLHOP VIBESSSS,5
Christian Music,4
Christmas Brass,43
Christmas Buble,4
Cory Wong,17
DESENDANTS,6
Dirty loopers,13
Disco woman,5
Dorian,37
Electronic,80
Empire Brass,6
Fanefares,24
folkish,10
Funk-Fusion,21
GRIFFINS FARFORITES,20
Harp,2
Keith,189
Keith Downstairs,21
lang lang,11
Mark Letierri,3
MIDNIGHTERS,8
Minnnnnneeecraftttttt,5
Moanaaaaaaaaaaa!!!!,1
My Likes,62:624368048
Opera,34
Orchestra,5
Percy Grainger,4
Piano Audiophile,2
Pop,46
Screamin Trumpet,10
The bad boy maxwell,57
Wagner,7
ZAC BROWN BAND,1
Best of TheFatRat,B09GXH2TSZ:ATVPDKIKX0DER:21:4:1:2:i
REDISCOVER TobyMac,B0BB3BBNPH:ATVPDKIKX0DER:1:14:3:2:u
Alternative Classics,B09HWRTSV6:ATVPDKIKX0DER:0:15:5:2:u
Ultra HD Classic Rock,B08PP8GZMM:ATVPDKIKX0DER:2:8:12:2:u
Party Hard Rock,B09HX1T6C4:ATVPDKIKX0DER:144:20:10:2:i
Ultra HD John Mayer,B088WNVBBZ:ATVPDKIKX0DER:422:3:2:2:i
Ultra HD Michael Bublé,B08HJ2ZBCM:ATVPDKIKX0DER:175:2:1:2:i
Best of Frozen,B097GX4N8G:ATVPDKIKX0DER:0:9:5:2:u
My Year in Review 2022,2023-01-06T21:06:43.981724Z;2023-01-06T21:06:43.981724Z
70's,100
80's,66
80's Hair Bands,79
90's,26
Abby’s Favorites,35
Anna’s sleepy music,1
Audiophile,34
Baby shark is cool,6
Brass,41
Brass Band,139
CHILLHOP VIBESSSS,5
Christian Music,4
Christmas Brass,43
Christmas Buble,4
Cory Wong,17
DESENDANTS,6
Dirty loopers,13
Disco woman,5
Dorian,37
Electronic,80
Empire Brass,6
Fanefares,24
folkish,10
Funk-Fusion,21
GRIFFINS FARFORITES,20
Harp,2
Keith,189
Keith Downstairs,21
lang lang,11
Mark Letierri,3
MIDNIGHTERS,8
Minnnnnneeecraftttttt,5
Moanaaaaaaaaaaa!!!!,1
My Likes,62:624368048
Opera,34
Orchestra,5
Percy Grainger,4
Piano Audiophile,2
Pop,46
Screamin Trumpet,10
The bad boy maxwell,57
Wagner,7
ZAC BROWN BAND,1
Best of TheFatRat,B09GXH2TSZ:ATVPDKIKX0DER:21:4:912:2:i
REDISCOVER TobyMac,B0BB3BBNPH:ATVPDKIKX0DER:1:14:379:2:u
Alternative Classics,B09HWRTSV6:ATVPDKIKX0DER:0:15:772:2:u
Ultra HD Classic Rock,B08PP8GZMM:ATVPDKIKX0DER:2:8:1186:2:u
Party Hard Rock,B09HX1T6C4:ATVPDKIKX0DER:144:20:829:2:i
Ultra HD John Mayer,B088WNVBBZ:ATVPDKIKX0DER:422:3:1294:2:i
Ultra HD Michael Bublé,B08HJ2ZBCM:ATVPDKIKX0DER:175:2:977:2:i
Best of Frozen,B097GX4N8G:ATVPDKIKX0DER:0:9:1077:2:u
My Year in Review 2022,2023-01-06T21:06:43.981724Z;2023-01-06T21:06:43.981724Z
70's,100
80's,66
80's Hair Bands,79
90's,26
Abby’s Favorites,35
Anna’s sleepy music,1
Audiophile,34
Baby shark is cool,6
Brass,41
Brass Band,139
CHILLHOP VIBESSSS,5
Christian Music,4
Christmas Brass,43
Christmas Buble,4
Cory Wong,17
DESENDANTS,6
Dirty loopers,13
Disco woman,5
Dorian,37
Electronic,80
Empire Brass,6
Fanefares,24
folkish,10
Funk-Fusion,21
GRIFFINS FARFORITES,20
Harp,2
Keith,189
Keith Downstairs,21
lang lang,11
Mark Letierri,3
MIDNIGHTERS,8
Minnnnnneeecraftttttt,5
Moanaaaaaaaaaaa!!!!,1
My Likes,62:624368048
Opera,34
Orchestra,5
Percy Grainger,4
Piano Audiophile,2
Pop,46
Screamin Trumpet,10
The bad boy maxwell,57
Wagner,7
ZAC BROWN BAND,1
Best of TheFatRat,B09GXH2TSZ:ATVPDKIKX0DER:21:4:1:2:i
REDISCOVER TobyMac,B0BB3BBNPH:ATVPDKIKX0DER:1:14:3:2:u
Alternative Classics,B09HWRTSV6:ATVPDKIKX0DER:0:15:4:2:u
Ultra HD Classic Rock,B08PP8GZMM:ATVPDKIKX0DER:2:8:11:2:u
Party Hard Rock,B09HX1T6C4:ATVPDKIKX0DER:144:20:9:2:i
Ultra HD John Mayer,B088WNVBBZ:ATVPDKIKX0DER:422:3:2:2:i
Ultra HD Michael Bublé,B08HJ2ZBCM:ATVPDKIKX0DER:175:2:1:2:i
Best of Frozen,B097GX4N8G:ATVPDKIKX0DER:0:9:4:2:u
My Year in Review 2022,2023-01-06T21:06:43.981724Z;2023-01-06T21:06:43.981724Z
Playlist Title,Playlist Version,Total Tracks,Total Duration,Editable,Renamable,Removeable,creationDate,lastUpdatedDate,Following,Number of Followers,Track Ids
Brass Ensemble NABBA Possibilites,1,1,202,true,true,true,2021-12-04 14:44:24 UTC,2021-12-04 14:44:24 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble)
Brass Ensemble NABBA Possibilites,2,2,519,true,true,true,2021-12-04 14:44:24 UTC,2021-12-04 14:52:27 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble),B00XQK1IUM:Fantasia
Brass Ensemble NABBA Possibilites,3,3,696,true,true,true,2021-12-04 14:44:24 UTC,2021-12-04 14:57:50 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble),B00XQK1IUM:Fantasia,B001GPKBF2:O Vos Omnes
Brass Ensemble NABBA Possibilites,4,4,1233,true,true,true,2021-12-04 14:44:24 UTC,2021-12-04 15:00:34 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble),B00XQK1IUM:Fantasia,B001GPKBF2:O Vos Omnes,B001GPKBCA:Pièce Héroïque
Brass Ensemble NABBA Possibilites,5,5,1498,true,true,true,2021-12-04 14:44:24 UTC,2021-12-04 15:02:29 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble),B00XQK1IUM:Fantasia,B001GPKBF2:O Vos Omnes,B001GPKBCA:Pièce Héroïque,B018IER9K8:Tiera
Brass Ensemble NABBA Possibilites,6,6,1782,true,true,true,2021-12-04 14:44:24 UTC,2021-12-05 15:47:16 UTC,false,0,B07PDNX5SP:O Vos Omnes (Arr. C. Richter for Vocal Ensemble),B00XQK1IUM:Fantasia,B001GPKBF2:O Vos Omnes,B001GPKBCA:Pièce Héroïque,B018IER9K8:Tiera,B0161R8SAE:Music for Brass
Opera,1,0,0,true,true,true,2020-03-22 00:44:52 UTC,2020-03-22 00:44:52 UTC,false,0,
Opera,2,1,181,true,true,true,2020-03-22 00:44:52 UTC,2020-03-22 00:52:49 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel
Opera,3,2,302,true,true,true,2020-03-22 00:44:52 UTC,2020-03-22 00:54:59 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh)
Opera,4,3,384,true,true,true,2020-03-22 00:44:52 UTC,2020-03-22 00:55:08 UTC,false,0,B000S3WZ20:Gotterdammerung (Twilight of the Gods): Act II: Vorspiel,B06XYKN3XX:Das Rheingold, WWV 86A, Scene IV: Bruder, hieher! Weise der Brucke den Weg! (Donner, Froh),B06XYJTQ7K:Das Rheingold, WWV 86A, Scene IV: Abendlich strahlt der Sonne Auge (Wotan)
