Task,Start Time,Start Date,End Time,day_of_week
Python,1708981563.9589548,2024-02-26 15:06:03.958954,1708981572.910108,0.0
Python,1708981771.404303,2024-02-26 15:09:31.404303,1708981818.1436615,0.0
Python,1708982108.4311075,2024-02-26 15:15:08.431107,1708982112.578059,0.0
Python,1708982379.5877848,2024-02-26 15:19:39.587784,1708982382.586143,0.0
Data Analysis,1708983890.2007244,2024-02-26 15:44:50.200724,1708983927.5766976,0.0
Data Analysis,1708983936.4014614,2024-02-26 15:45:36.401461,1708984278.8635557,0.0
3D Printing,1708986288.3967645,2024-02-26 16:24:48.396764,1708986548.9800525,0.0
3D Printing,1709043388.3278644,2024-02-27 08:16:28.327864,1709043979.7165458,1.0
3D Printing,1709043986.8400557,2024-02-27 08:26:26.840055,1709044030.416961,1.0
Python,1709044045.6571343,2024-02-27 08:27:25.657134,1709044855.7920485,1.0
Python,1709044863.474304,2024-02-27 08:41:03.474304,1709044868.0002525,1.0
Python,1709045157.1291628,2024-02-27 08:45:57.129162,1709045172.0698214,1.0
Python,1709045302.0,2024-02-27 08:48:22.292622,1709045305.3415425,1.0
Python,1709045351.102692,2024-02-27 08:49:11.102692,1709045353.5993712,1.0
Python,1709045544.094901,2024-02-27 08:52:24.094901,1709046022.27975,1.0
Python,1709046029.0,2024-02-27 09:00:28.929496,1709046033.2809415,1.0
Python,1709046069.1042109,2024-02-27 09:01:09.104211,1709046073.0328667,1.0
Python,1709046419.0592186,2024-02-27 09:06:59.059218,1709046421.3841815,1.0
Python,1709046718.098853,2024-02-27 09:11:58.098853,1709046723.03783,1.0
Python,1709046855.1160872,2024-02-27 09:14:15.116087,1709047694.2683573,1.0
Python,1709047705.2615302,2024-02-27 09:28:25.261530,1709048022.8425162,1.0
Machine Learning Python,1709048046.657085,2024-02-27 09:34:06.657085,1709048901.630002,1.0
3D Printing,1709048944.743309,2024-02-27 09:49:04.743309,1709050823.0490422,1.0
3D Printing,1709050837.6692405,2024-02-27 10:20:37.669240,1709053211.703032,1.0
Databases/Bash,1709053252.5876503,2024-02-27 11:00:52.587650,1709055606.079967,1.0
Databases/Bash,1709056507.100321,2024-02-27 11:55:07.100321,1709059473.7656906,1.0
3D Printing,1709059537.3587024,2024-02-27 12:45:37.358702,1709061148.8008006,1.0
Data Visualization,1709066264.0060587,2024-02-27 14:37:44.006058,1709073827.008113,1.0
3D Printing,1709128458.0244863,2024-02-28 07:54:18.024486,1709132832.1817632,2.0
Data Visualization,1709133313.0015855,2024-02-28 09:15:13.001585,1709135630.7591226,2.0
Data Visualization,1709148809.6267278,2024-02-28 13:33:29.626727,1709159775.051282,2.0
Data Visualization,1709221129.1855743,2024-02-29 09:38:49.185574,1709225920.564844,3.0
Databases/Bash,1709230767.6438563,2024-02-29 12:19:27.643856,1709231106.684116,3.0
Data Visualization,1709245895.5741687,2024-02-29 16:31:35.574168,1709245898.638297,3.0
Data Visualization,1709333517.1841328,2024-03-01 16:51:57.184132,1709334457.6592212,4.0
Data Visualization,1709343926.9836147,2024-03-01 19:45:26.983614,1709344990.7613094,4.0
Data Visualization,1709344998.0173326,2024-03-01 20:03:18.017332,1709345206.435186,4.0
Data Visualization,1709386068.492054,2024-03-02 07:27:48.492054,1709386464.4378643,5.0
3D Printing,1709386474.5829382,2024-03-02 07:34:34.582938,1709387816.0245824,5.0
3D Printing,1709395432.7419894,2024-03-02 10:03:52.741989,1709396785.554113,5.0
Data Visualization,1709396800.7572958,2024-03-02 10:26:40.757295,1709402267.269209,5.0
3D Printing,1709402944.4516468,2024-03-02 12:09:04.452720,1709403652.801384,5.0
Data Visualization,1709403666.5294783,2024-03-02 12:21:06.529478,1709407875.72975,5.0
Data Visualization,1709408643.921242,2024-03-02 13:44:03.921242,1709413385.147684,5.0
Data Visualization,1709581046.1094491,2024-03-04 13:37:26.109449,1709588420.2218106,0.0
3D Printing,1709654107.3817236,2024-03-05 09:55:07.381723,1709655752.563211,1.0
